Brand,Product_Name,Original_Price,Current_Price,Discount
Ray-Ban,RB7047,176.0,176.0,null
Oakley,Plank 2.0,187.0,187.0,null
null,null,null,null,null
Oakley,Socket 5.5,null,null,null
Oakley,Holbrook RX,null,null,null
Oakley,Wheel House,242.0,242.0,null
Ray-Ban,RB8908,276.0,276.0,null
Ray-Ban,RB7229,null,null,30%
Oakley,Pitchman R Carbon - Alternate Fit,297.0,297.0,null
Ray-Ban,RB6645,210.0,210.0,null
Ray-Ban,RB7260,210.0,210.0,null
Ray-Ban,RB5154 Clubmaster,null,null,null
Persol,PO3189V,null,null,50%
Burberry,BE2315,null,null,50%
Persol,PO3297V,null,null,null
Versace,VE1285,null,null,30%
Gucci,GG1340O,null,null,15%
Gucci,GG1221O,null,null,15%
Kate Spade,Charlee,null,null,30%
Kate Spade,Lucyann,null,null,30%
Burberry,BE2417,null,null,30%
Dolce & Gabbana,DG3415,null,null,30%
Versace,VE3373U,null,null,30%
RALPH by Ralph Lauren,RA7158U,null,null,30%
Ray-Ban,RB7140,237.0,237.0,null
